Id,Nome,Descriçao,Quantidade,Localização Casa,Foto,Tem Interesse
793,assadeira,assadeira redonda,1,churrasqueira,NA,NA
794,panela alumínio,panela alumínio,1,churrasqueira,NA,NA
795,tábua madeira,tábua de madeira,1,churrasqueira,NA,NA
796,escorredor,escorredor de alumínio,1,churrasqueira,NA,NA
797,caneco,caneca alumínio,1,churrasqueira,NA,NA
798,mala com roupas antigas,mala com roupas antigas,1,quarto costura,NA,NA
799,cortinas,6 cortinas brancas,6,quarto costura,NA,NA
800,pinicos,2 pinicos,2,quarto costura,NA,NA
801,ferro de passar roupa,2 ferro de passar roupa,2,quarto costura,NA,NA
802,enfeites natal,enfeites natal,1,quarto costura,NA,NA
803,enfeites natal,enfeites natal,1,quarto costura,NA,NA
804,boneca,boneca,1,quarto costura,NA,NA
805,papai noel,papai noel,1,quarto costura,NA,NA
806,enfeites natal,enfeites natal,1,quarto costura,NA,NA
807,mesa,mesa quadrada pequena tampo mármore e pé de ferro,1,quarto costura,NA,NA
808,cadeira madeira,cadeira madeira,1,quarto costura,NA,NA
809,itens de costura,itens do armário de costura,1,quarto costura,NA,NA
810,NA,NA,NA,NA,NA,NA
811,NA,NA,NA,NA,NA,NA
812,NA,NA,NA,NA,NA,NA
813,NA,NA,NA,NA,NA,NA
814,NA,NA,NA,NA,NA,NA
815,NA,NA,NA,NA,NA,NA
816,NA,NA,NA,NA,NA,NA
817,NA,NA,NA,NA,NA,NA
818,NA,NA,NA,NA,NA,NA
819,NA,NA,NA,NA,NA,NA
820,NA,NA,NA,NA,NA,NA
821,NA,NA,NA,NA,NA,NA
822,NA,NA,NA,NA,NA,NA
823,NA,NA,NA,NA,NA,NA
824,NA,NA,NA,NA,NA,NA
825,NA,NA,NA,NA,NA,NA
826,NA,NA,NA,NA,NA,NA
827,NA,NA,NA,NA,NA,NA
828,NA,NA,NA,NA,NA,NA
829,NA,NA,NA,NA,NA,NA
830,NA,NA,NA,NA,NA,NA
831,NA,NA,NA,NA,NA,NA
832,NA,NA,NA,NA,NA,NA
833,NA,NA,NA,NA,NA,NA
834,NA,NA,NA,NA,NA,NA
835,NA,NA,NA,NA,NA,NA
836,NA,NA,NA,NA,NA,NA
837,NA,NA,NA,NA,NA,NA
838,NA,NA,NA,NA,NA,NA
839,NA,NA,NA,NA,NA,NA
840,NA,NA,NA,NA,NA,NA
841,NA,NA,NA,NA,NA,NA
842,NA,NA,NA,NA,NA,NA
843,NA,NA,NA,NA,NA,NA
844,NA,NA,NA,NA,NA,NA
845,NA,NA,NA,NA,NA,NA
846,NA,NA,NA,NA,NA,NA
847,NA,NA,NA,NA,NA,NA
848,NA,NA,NA,NA,NA,NA
849,NA,NA,NA,NA,NA,NA
850,NA,NA,NA,NA,NA,NA
